,city,cloudiness,country,date,humidity,latitude,longitude,temperature,wind
120,tigil,0,RU,1586651066,90,57.8,158.67,-4.29,2.02
121,airai,96,TL,1586650673,69,-8.93,125.41,18.74,0.88
122,svetlyy,100,RU,1586651066,52,54.67,20.13,5.0,4.0
123,kihei,20,US,1586650907,58,20.79,-156.47,28.0,7.7
124,conceicao do araguaia,88,BR,1586650996,88,-8.26,-49.26,24.46,1.51
125,zeya,5,RU,1586651067,60,53.75,127.27,6.39,1.7
126,aksay,20,RU,1586651000,55,47.26,39.87,4.44,4.0
127,faanui,46,PF,1586650753,76,-16.48,-151.75,28.1,6.33
128,farafangana,27,MG,1586651067,85,-22.82,47.83,23.1,1.03
129,banda aceh,45,ID,1586650831,80,5.56,95.32,26.79,0.82
130,khatanga,66,RU,1586650732,94,71.97,102.5,-13.28,3.68
131,touros,20,BR,1586651067,83,-5.2,-35.46,27.0,3.1
132,vardo,46,NO,1586650773,92,70.37,31.11,-3.2,3.79
133,ban nahin,43,LA,1586651067,72,18.24,104.21,25.42,1.74
134,zyryanka,3,RU,1586651067,96,65.75,150.85,-2.45,6.99
135,marzuq,2,YE,1586651067,50,14.4,46.47,21.86,1.67
136,genhe,4,CN,1586651067,34,50.78,121.52,9.41,0.91
137,bilma,100,NE,1586651067,16,18.69,12.92,25.04,2.24
138,cape town,90,ZA,1586650325,93,-33.93,18.42,18.33,8.7
139,prince rupert,1,CA,1586650847,25,54.32,-130.32,12.0,3.6
140,saint-pierre,20,RE,1586650792,73,-21.34,55.48,24.0,2.1
141,mahebourg,75,MU,1586650768,83,-20.41,57.7,24.44,2.6
142,lagoa,0,PT,1586650755,77,39.05,-27.98,16.26,4.56
143,baker city,1,US,1586651068,25,44.77,-117.83,12.0,10.8
144,talnakh,75,RU,1586650843,93,69.49,88.4,1.0,14.0
145,puerto el triunfo,75,SV,1586651001,74,13.28,-88.55,30.0,4.1
146,kefamenanu,87,ID,1586651068,76,-9.45,124.48,24.64,0.55
147,tuatapere,56,NZ,1586650754,52,-46.13,167.68,20.0,2.24
148,yellowknife,75,CA,1586650350,52,62.46,-114.35,-7.0,8.7
149,carnarvon,14,AU,1586650738,100,-24.87,113.63,24.0,5.7
150,ponta do sol,40,PT,1586650843,67,32.67,-17.1,17.0,4.6
151,isangel,20,VU,1586651068,58,-19.55,169.27,29.0,2.45
152,gien,41,FR,1586651068,69,47.69,2.63,13.89,0.94
153,mao,27,ES,1586650817,76,39.89,4.27,14.0,3.6
154,datong,0,CN,1586651068,28,40.09,113.29,7.33,5.46
155,eureka,90,US,1586651000,81,40.8,-124.16,13.89,5.1
156,truro,3,GB,1586651072,87,50.27,-5.05,11.67,0.5
157,oussouye,40,SN,1586651072,94,12.48,-16.55,24.0,2.1
158,okhotsk,34,RU,1586651072,92,59.38,143.3,-1.33,0.98
159,tocopilla,26,CL,1586650966,55,-22.09,-70.2,20.43,1.9
160,mataura,93,NZ,1586650632,52,-46.19,168.86,20.0,2.24
161,xai-xai,0,MZ,1586651072,93,-25.05,33.64,20.37,2.62
162,kurumkan,100,RU,1586651072,44,54.3,110.3,7.62,1.19
163,brazzaville,75,CG,1586651072,94,-4.27,15.28,24.0,0.8
164,deer lake,75,CA,1586651072,80,49.17,-57.43,1.0,2.6
165,brawley,1,US,1586651072,37,32.98,-115.53,24.44,2.74
166,east london,85,ZA,1586650688,67,-33.02,27.91,23.19,0.86
167,kismayo,100,SO,1586651073,76,-0.36,42.55,28.28,1.96
168,cidreira,4,BR,1586650892,70,-30.18,-50.21,18.75,2.38
169,puerto baquerizo moreno,75,EC,1586651074,88,-0.9,-89.6,27.0,3.6
170,billund,98,DK,1586651074,57,55.73,9.11,10.0,4.1
171,port blair,78,IN,1586650929,72,11.67,92.75,27.81,3.32
172,gao,56,ML,1586651038,19,16.64,1.64,29.87,2.04
173,ucluelet,20,CA,1586651074,33,48.93,-125.55,15.56,4.6
174,sao filipe,93,CV,1586651008,74,14.9,-24.5,24.1,4.12
175,chapais,90,CA,1586651074,68,49.78,-74.85,-2.0,4.6
176,purranque,6,CL,1586651074,66,-40.92,-73.17,10.0,0.5
177,qaanaaq,88,GL,1586650683,72,77.48,-69.36,-11.22,1.45
178,saldanha,99,ZA,1586650683,93,-33.01,17.94,16.0,7.2
179,saint anthony,90,US,1586650802,26,45.02,-93.22,15.0,4.1
180,pangkalanbuun,92,ID,1586651074,90,-2.68,111.62,25.33,1.15
181,fairbanks,1,US,1586650485,36,64.84,-147.72,8.0,1.33
182,san andres,40,CO,1586650490,79,12.58,-81.7,29.0,5.1
183,ilulissat,90,GL,1586650722,68,69.22,-51.1,-2.0,4.1
184,khiri mat,20,TH,1586651075,69,16.83,99.8,31.11,1.67
185,aktau,0,KZ,1586651075,93,43.65,51.2,6.0,2.0
186,beyneu,23,KZ,1586651075,50,45.32,55.2,9.7,2.34
187,kutum,37,SD,1586651075,17,14.2,24.67,19.04,3.95
188,bandar-e anzali,91,IR,1586651075,77,37.47,49.46,10.34,0.9
189,wanning,99,CN,1586650970,87,18.8,110.4,23.94,6.62
190,santa luzia,5,BR,1586651075,78,-19.77,-43.85,23.0,4.1
191,aykhal,79,RU,1586650793,68,66.0,111.5,-4.0,3.0
192,blagoyevo,99,RU,1586651075,94,63.37,47.92,-7.41,0.62
193,takoradi,46,GH,1586651000,86,4.88,-1.76,26.85,2.18
194,krasnogorsk,1,RU,1586651075,86,55.82,37.32,-2.0,3.0
195,dodge city,1,US,1586650931,11,37.75,-100.02,27.22,3.6
196,tabuk,13,PH,1586651075,72,17.42,121.44,25.39,0.95
197,whitehorse,5,CA,1586651076,23,60.72,-135.05,4.0,0.26
198,wageningen,29,NL,1586651076,65,51.97,5.67,12.22,0.5
199,clinton,75,US,1586650945,57,42.59,-82.92,12.78,5.7
200,moussoro,89,TD,1586651076,14,13.64,16.49,27.84,6.54
201,avera,1,US,1586650887,36,33.19,-82.53,23.0,1.95
202,nargana,69,PA,1586651076,83,9.44,-78.59,27.19,6.64
203,evensk,100,RU,1586651076,88,61.95,159.23,-10.55,1.1
204,chuy,17,UY,1586650762,76,-33.7,-53.46,16.86,2.87
205,cabo san lucas,40,MX,1586650892,56,22.89,-109.91,24.44,7.2
206,esperance,40,AU,1586650647,56,-33.87,121.9,22.0,8.7
207,kampot,40,KH,1586651076,88,10.62,104.18,27.0,0.5
208,mashhad,40,IR,1586651076,100,36.3,59.61,12.0,2.1
209,barber,40,CW,1586651076,78,12.28,-69.07,27.0,6.7
210,shingu,75,JP,1586650963,71,33.73,135.98,12.0,2.1
211,chernyshevskiy,76,RU,1586651076,94,63.01,112.47,-3.38,3.63
212,lae,98,PG,1586651077,58,-6.72,146.98,30.58,1.26
213,flinders,0,AU,1586650813,44,-34.58,150.86,18.89,5.1
214,dilla,51,ET,1586651077,50,6.41,38.31,19.23,3.0
215,chyhyryn,1,UA,1586651077,71,49.08,32.66,3.47,3.97
216,grand gaube,75,MU,1586650956,83,-20.01,57.66,24.44,2.6
217,killybegs,100,IE,1586651077,94,54.63,-8.45,7.78,0.45
218,college,75,US,1586650489,38,64.86,-147.8,8.0,1.23
219,kemi,74,FI,1586651077,92,65.86,24.82,-5.0,3.1
220,edinburg,75,GB,1586650957,81,55.95,-3.2,10.56,5.7
221,sao domingos,100,BR,1586650832,74,-13.4,-46.32,22.47,0.25
222,umba,57,RU,1586651077,94,66.69,34.34,-4.6,3.76
223,torbay,90,CA,1586650743,74,47.67,-52.73,1.67,9.3
224,qaqortoq,100,GL,1586650976,48,60.72,-46.03,5.0,20.6
225,ayan,16,RU,1586650754,85,56.45,138.17,1.03,2.21
226,paamiut,100,GL,1586651001,73,61.99,-49.67,4.27,4.82
227,nikolskoye,3,RU,1586650717,92,59.7,30.79,-3.0,1.33
228,jalu,7,LY,1586651001,50,29.03,21.55,15.54,3.99
229,bilibino,91,RU,1586651078,89,68.05,166.44,-9.89,1.68
230,beringovskiy,95,RU,1586650742,94,63.05,179.32,-9.87,4.7
231,sibolga,87,ID,1586651078,76,1.74,98.78,26.06,1.45
232,nemuro,75,JP,1586650763,55,43.32,145.57,3.0,2.6
233,bonavista,19,CA,1586651078,85,48.65,-53.11,1.11,5.36
234,tanggu,0,CN,1586651078,28,39.02,117.65,15.0,5.0
235,hosur,0,IN,1586650961,100,12.72,77.82,20.0,1.5
236,kununurra,60,AU,1586651078,74,-15.77,128.73,28.0,2.6
237,novovarshavka,38,RU,1586651078,69,54.17,74.69,5.4,2.59
238,marsa matruh,0,EG,1586651078,76,31.35,27.25,15.3,3.39
239,xining,6,CN,1586650887,22,36.62,101.77,3.87,0.94
240,weyburn,79,CA,1586651079,45,49.67,-103.85,-1.67,8.49
241,juneau,20,US,1586651079,26,58.3,-134.42,8.0,4.6
242,mogadouro,100,PT,1586651079,61,41.34,-6.71,11.83,0.59
243,kaitangata,96,NZ,1586650927,82,-46.28,169.85,12.78,4.72
244,santarem,90,BR,1586651079,100,-2.44,-54.71,25.0,0.11
245,luang prabang,40,LA,1586651079,78,19.89,102.13,24.0,0.43
246,susangerd,23,IR,1586651079,40,31.56,48.18,20.0,2.1
247,sisian,75,AM,1586651079,87,39.53,46.03,7.0,2.1
248,hovd,100,MN,1586651079,36,48.01,91.64,3.69,0.62
249,kulhudhuffushi,41,MV,1586651079,64,6.62,73.07,29.82,2.88
250,hasaki,75,JP,1586650949,87,35.73,140.83,11.11,4.6
251,hirara,75,JP,1586651079,77,24.8,125.28,19.0,8.2
252,kimbe,7,PG,1586651079,61,-5.55,150.14,31.73,0.96
253,mantua,0,IT,1586651079,54,45.17,10.78,15.56,2.6
254,kigali,69,RW,1586650919,62,-1.95,30.06,15.69,0.81
255,malakal,37,SS,1586651080,29,9.53,31.66,30.54,2.71
256,yatou,33,CN,1586651080,57,37.15,122.38,9.76,4.47
257,quatre cocos,75,MU,1586651080,83,-20.21,57.76,25.0,2.6
258,norman wells,20,CA,1586650763,50,65.28,-126.83,-2.0,4.6
259,taranagar,20,IN,1586650987,31,28.67,75.04,26.91,3.33
260,saint albans,41,GB,1586651013,71,51.75,-0.33,15.0,1.0
261,kavaratti,4,IN,1586651080,69,10.57,72.64,28.91,2.06
262,tual,85,ID,1586651080,69,-5.67,132.75,28.91,0.47
263,scarborough,8,GB,1586650977,87,54.28,-0.4,11.11,2.6
264,penal,20,TT,1586650950,74,10.17,-61.47,27.0,2.6
265,sabang,42,ID,1586651081,74,5.89,95.32,28.48,2.98
266,vao,35,NC,1586651000,73,-22.67,167.48,24.72,5.79
267,zhezkazgan,87,KZ,1586651081,52,47.8,67.71,6.58,2.88
268,sambava,10,MG,1586650760,83,-14.27,50.17,23.98,4.31
269,bonfim,79,BR,1586651081,53,3.08,-59.95,29.47,5.2
270,deputatskiy,76,RU,1586650887,92,69.3,139.9,-4.12,6.84
271,vanavara,0,RU,1586651081,89,60.34,102.28,-1.0,1.05
272,tanout,99,NE,1586651081,14,14.97,8.89,26.13,4.17
273,cockburn town,0,TC,1586650883,78,21.46,-71.14,26.34,5.93
274,arraial do cabo,99,BR,1586650629,73,-22.97,-42.03,22.91,2.02
275,huilong,27,CN,1586651081,76,31.81,121.66,11.11,2.68
276,marienburg,100,PL,1586650926,36,54.04,19.03,8.89,3.6
277,hilton head island,1,US,1586651081,45,32.22,-80.75,19.44,2.1
278,korla,69,CN,1586651082,45,41.76,86.15,14.44,0.89
279,bathsheba,75,BB,1586650877,69,13.22,-59.52,27.0,6.7
280,anchorage,1,US,1586650857,29,61.22,-149.9,6.0,2.6
281,ostrovnoy,28,RU,1586650662,93,68.05,39.51,-9.21,5.44
282,adrar,0,MR,1586650724,17,20.5,-10.07,26.93,4.88
283,elbistan,0,TR,1586651082,42,38.21,37.2,4.74,2.44
284,torquay,18,GB,1586651082,7,50.46,-3.51,12.22,1.32
285,cabedelo,54,BR,1586650903,88,-6.98,-34.83,26.0,3.1
286,opuwo,3,NA,1586650843,54,-18.06,13.84,20.3,2.76
287,longkou,0,CN,1586651082,52,37.65,120.33,10.15,8.41
288,burns lake,14,CA,1586651082,45,54.23,-125.75,5.32,1.14
289,ottawa,20,CA,1586651000,38,45.41,-75.7,6.11,2.6
290,sturgeon bay,1,US,1586650786,65,44.83,-87.38,11.11,6.2
291,palmer,20,US,1586651082,35,42.16,-72.33,8.0,2.6
292,te anau,56,NZ,1586650823,64,-45.42,167.72,15.52,3.76
293,bamako,20,ML,1586651083,38,12.65,-8.0,32.0,2.6
294,hofn,67,IS,1586650807,83,64.25,-15.21,1.44,7.98
295,lasa,5,IT,1586650807,75,46.62,10.7,12.22,2.1
296,lorengau,36,PG,1586650853,68,-2.02,147.27,29.44,1.06
297,hambantota,16,LK,1586650903,80,6.12,81.12,26.63,3.93
298,zhanaozen,39,KZ,1586651083,63,43.3,52.8,5.8,3.69
299,port hardy,20,CA,1586650963,32,50.7,-127.42,13.0,2.6
300,presidente epitacio,18,BR,1586651062,61,-21.76,-52.12,20.74,1.67
301,grindavik,40,IS,1586650982,81,63.84,-22.43,2.0,6.2
302,zarand,88,IR,1586651083,25,30.81,56.56,17.12,6.8
303,doha,100,QA,1586650975,54,25.29,51.53,29.0,2.6
304,komsomolskiy,100,UZ,1586650852,71,40.43,71.72,13.0,3.1
305,georgiyevka,99,KZ,1586651083,81,43.04,74.71,8.0,3.0
306,halvad,79,IN,1586651083,42,23.02,71.18,27.18,4.0
307,ketchikan,1,US,1586650713,34,55.34,-131.65,11.0,7.2
308,kidodi,89,TZ,1586651084,80,-7.6,37.0,22.0,1.27
309,mayo,1,US,1586651084,30,38.89,-76.51,14.44,1.76
310,raudeberg,100,NO,1586650738,93,61.99,5.14,7.78,9.3
311,kedrovyy,0,RU,1586651084,79,56.17,91.82,-4.0,2.66
312,totness,100,SR,1586651084,78,5.88,-56.32,26.14,5.74
313,lakatoro,40,VU,1586651084,70,-16.1,167.42,29.0,3.6
314,caravelas,37,BR,1586650893,86,-17.71,-39.25,25.83,4.35
315,borova,0,UA,1586651084,50,50.18,30.1,3.89,2.43
316,nome,90,US,1586650802,86,64.5,-165.41,-1.0,4.1
317,cherskiy,99,RU,1586650750,96,68.75,161.3,-6.89,6.54
318,sorland,100,NO,1586650927,80,67.67,12.69,1.49,6.86
319,jining,0,CN,1586651084,25,35.41,116.58,12.22,0.45
320,constitucion,61,CL,1586650713,83,-35.33,-72.42,11.59,5.09
321,camacha,40,PT,1586651085,72,33.08,-16.33,17.0,6.2
322,guelph,1,CA,1586650925,60,43.55,-80.25,8.33,5.7
323,linjiang,0,CN,1586651085,48,41.81,126.91,7.21,3.37
324,takhtamygda,10,RU,1586651085,65,54.1,123.57,5.52,1.14
325,poum,56,NC,1586650712,71,-20.23,164.02,26.57,5.44
326,shimoda,75,JP,1586651085,87,34.67,138.95,14.0,7.7
327,padang,91,ID,1586650824,75,-0.95,100.35,26.38,2.21
328,xingyi,89,CN,1586651085,48,24.19,102.82,12.93,2.35
329,dingzhou,0,CN,1586651085,24,38.51,115.0,15.0,3.0
330,arcata,1,US,1586650972,71,40.87,-124.08,13.89,8.7
331,santiago del estero,8,AR,1586651085,55,-27.8,-64.26,19.77,3.0
332,gueret,49,FR,1586651000,39,46.17,1.87,17.0,3.6
333,yumen,100,CN,1586650778,23,40.28,97.2,7.54,2.24
334,thio,51,NC,1586651086,43,-21.62,166.22,31.0,3.1
335,port augusta,4,AU,1586650898,67,-32.5,137.77,15.0,4.6
336,nicoya,40,CR,1586651086,49,10.15,-85.45,33.0,7.2
337,san cristobal,40,VE,1586650948,43,7.77,-72.22,32.0,8.2
338,jacksonville beach,1,US,1586651086,68,30.29,-81.39,22.22,3.1
339,yeniseysk,0,RU,1586651086,95,58.45,92.17,-0.62,1.58
340,dikson,100,RU,1586650650,96,73.51,80.55,-9.95,6.13
341,waimana,20,NZ,1586651086,71,-38.15,177.08,21.11,1.34
342,binzhou,0,CN,1586651086,38,37.37,118.02,12.84,5.08
343,villa constitucion,11,AR,1586651086,67,-33.23,-60.33,20.56,1.0
344,karratha,0,AU,1586650712,39,-20.74,116.85,29.11,6.03
345,itaituba,76,BR,1586651086,94,-4.28,-55.98,24.74,0.63
346,fukuma,75,JP,1586651086,93,33.77,130.47,10.0,0.5
347,chardara,100,KZ,1586651086,63,41.25,67.97,15.43,8.93
348,richterswil,0,CH,1586651087,75,47.21,8.7,11.11,1.47
349,novikovo,45,RU,1586651087,76,51.15,37.89,1.63,5.47
350,changde,0,CN,1586651087,79,29.05,111.68,10.56,2.64
351,amuntai,100,ID,1586651087,97,-2.42,115.25,23.1,0.86
352,san jose del potrero,1,HN,1586651087,43,14.83,-87.28,32.0,5.1
353,palauig,3,PH,1586651087,66,15.44,119.9,28.49,2.13
354,saint-leu,21,RE,1586651087,73,-21.15,55.28,24.0,2.1
355,egersund,75,NO,1586651087,100,58.45,6.0,6.67,2.6
356,plastun,0,RU,1586651087,69,44.76,136.29,4.35,2.8
357,rawson,0,AR,1586650989,38,-43.3,-65.1,13.32,2.39
358,oga,15,IT,1586651087,86,46.46,10.35,12.22,1.5
359,cordoba,59,AR,1586651013,63,-31.41,-64.18,20.0,3.6
360,sechura,60,PE,1586650812,66,-5.56,-80.82,25.36,7.14
361,salalah,75,OM,1586650843,74,17.02,54.09,28.0,4.6
362,koungheul,0,SN,1586651088,47,13.98,-14.8,25.03,5.38
363,mpraeso,87,GH,1586650909,83,6.59,-0.73,23.09,1.43
364,isla vista,20,US,1586651089,60,34.41,-119.86,22.22,4.6
365,am timan,100,TD,1586651089,31,11.03,20.28,29.75,2.34
366,nanortalik,100,GL,1586650653,77,60.14,-45.24,2.52,15.11
367,caohai,99,CN,1586651089,44,26.87,104.28,6.17,1.41
368,gananoque,20,CA,1586651089,69,44.33,-76.17,5.56,5.1
369,mihaesti,82,RO,1586651089,46,45.03,24.25,10.88,2.43
370,san jose,20,US,1586650951,67,37.34,-121.89,19.44,5.1
371,henties bay,2,NA,1586650948,88,-22.12,14.28,17.22,2.24
372,matagami,1,CA,1586651089,68,49.75,-77.63,-3.0,1.5
373,kiama,0,AU,1586650833,44,-34.68,150.87,18.89,5.1
374,merauke,58,ID,1586651089,71,-8.47,140.33,29.31,3.54
375,valkla,98,EE,1586651090,92,59.47,25.32,1.67,2.6
376,aconibe,100,GQ,1586651090,79,1.3,10.94,18.55,0.85
377,pokhara,0,NP,1586650888,19,28.23,83.98,17.17,3.23
378,pundaguitan,34,PH,1586651090,77,6.37,126.17,27.23,3.74
379,richards bay,49,ZA,1586650722,81,-28.78,32.04,21.93,6.46
380,santa isabel do para,40,BR,1586651090,100,-1.3,-48.16,25.0,2.1
381,amapa,100,BR,1586651090,94,1.0,-52.0,23.55,1.59
382,beloha,95,MG,1586651090,70,-25.17,45.05,22.77,4.3
383,mount isa,13,AU,1586651090,13,-20.73,139.5,27.0,5.7
384,fort nelson,40,CA,1586650843,32,58.81,-122.7,3.0,3.6
385,kalol,8,IN,1586651090,19,22.6,73.45,27.77,3.28
386,lensk,55,RU,1586651090,83,60.73,114.93,0.63,4.23
387,lata,75,PT,1586650763,93,40.16,-8.33,13.89,1.5
